Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_54_321,VPWR,li1,154.1000,160.4800,1.799999
FILLER_54_309,VPWR,li1,150.4200,160.4800,1.799999
FILLER_54_305,VPWR,li1,146.5100,160.4800,1.799999
FILLER_54_293,VPWR,li1,143.0600,160.4800,1.799999
FILLER_54_281,VPWR,li1,137.5400,160.4800,1.799999
FILLER_54_265,VPWR,li1,128.1100,160.4800,1.799999
FILLER_54_249,VPWR,li1,120.7500,160.4800,1.799999
FILLER_54_237,VPWR,li1,117.3000,160.4800,1.799999
FILLER_54_225,VPWR,li1,111.7800,160.4800,1.799999
FILLER_54_217,VPWR,li1,106.0300,160.4800,1.799999
FILLER_54_209,VPWR,li1,103.5000,160.4800,1.799999
FILLER_54_197,VPWR,li1,98.9000,160.4800,1.799999
FILLER_54_193,VPWR,li1,94.9900,160.4800,1.799999
FILLER_54_181,VPWR,li1,91.5400,160.4800,1.799999
FILLER_54_169,VPWR,li1,86.0200,160.4800,1.799999
FILLER_54_165,VPWR,li1,82.1100,160.4800,1.799999
FILLER_54_153,VPWR,li1,78.6600,160.4800,1.799999
FILLER_54_141,VPWR,li1,73.1400,160.4800,1.799999
FILLER_54_137,VPWR,li1,69.2300,160.4800,1.799999
FILLER_54_125,VPWR,li1,65.7800,160.4800,1.799999
FILLER_54_113,VPWR,li1,60.2600,160.4800,1.800000
FILLER_54_109,VPWR,li1,56.3500,160.4800,1.800000
FILLER_54_97,VPWR,li1,52.9000,160.4800,1.800000
FILLER_54_85,VPWR,li1,47.3800,160.4800,1.800000
FILLER_54_81,VPWR,li1,43.4700,160.4800,1.800000
FILLER_54_69,VPWR,li1,40.0200,160.4800,1.800000
FILLER_54_57,VPWR,li1,34.5000,160.4800,1.800000
FILLER_54_53,VPWR,li1,30.5900,160.4800,1.800000
FILLER_54_41,VPWR,li1,27.1400,160.4800,1.800000
FILLER_54_29,VPWR,li1,21.6200,160.4800,1.800000
FILLER_54_27,VPWR,li1,18.1700,160.4800,1.800000
FILLER_54_15,VPWR,li1,15.1800,160.4800,1.800000
FILLER_54_3,VPWR,li1,9.6600,160.4800,1.800000
FILLER_53_313,VPWR,li1,152.2600,155.0400,1.799978
FILLER_53_301,VPWR,li1,146.7400,155.0400,1.799978
FILLER_53_289,VPWR,li1,141.2200,155.0400,1.799978
FILLER_53_276,VPWR,li1,133.4000,155.0400,1.799978
FILLER_53_257,VPWR,li1,123.9700,155.0400,1.799979
FILLER_53_249,VPWR,li1,121.9000,155.0400,1.799979
FILLER_53_237,VPWR,li1,117.3000,155.0400,1.799979
FILLER_53_225,VPWR,li1,111.7800,155.0400,1.799979
FILLER_53_223,VPWR,li1,108.3300,155.0400,1.799980
FILLER_53_217,VPWR,li1,106.7200,155.0400,1.799980
FILLER_53_205,VPWR,li1,102.5800,155.0400,1.799980
FILLER_53_193,VPWR,li1,97.0600,155.0400,1.799981
FILLER_53_181,VPWR,li1,91.5400,155.0400,1.799981
FILLER_53_169,VPWR,li1,86.0200,155.0400,1.799982
FILLER_53_167,VPWR,li1,82.5700,155.0400,1.799983
FILLER_53_161,VPWR,li1,80.9600,155.0400,1.799983
FILLER_53_149,VPWR,li1,76.8200,155.0400,1.799983
FILLER_53_142,VPWR,li1,71.7600,155.0400,1.799984
FILLER_53_137,VPWR,li1,69.0000,155.0400,1.799985
FILLER_53_125,VPWR,li1,65.7800,155.0400,1.799985
FILLER_53_113,VPWR,li1,60.2600,155.0400,1.799986
FILLER_53_106,VPWR,li1,54.9700,155.0400,1.799987
FILLER_53_98,VPWR,li1,52.4400,155.0400,1.799988
FILLER_53_86,VPWR,li1,47.8400,155.0400,1.799989
FILLER_53_74,VPWR,li1,42.3200,155.0400,1.799990
FILLER_53_69,VPWR,li1,37.7200,155.0400,1.799992
FILLER_53_57,VPWR,li1,34.5000,155.0400,1.799993
FILLER_53_55,VPWR,li1,31.0500,155.0400,1.799994
FILLER_53_51,VPWR,li1,29.9000,155.0400,1.799994
FILLER_53_39,VPWR,li1,26.2200,155.0400,1.799995
FILLER_53_27,VPWR,li1,20.7000,155.0400,1.799997
FILLER_53_15,VPWR,li1,15.1800,155.0400,1.799997
FILLER_53_3,VPWR,li1,9.6600,155.0400,1.799997
FILLER_52_321,VPWR,li1,154.1000,155.0400,1.799978
FILLER_52_309,VPWR,li1,150.4200,155.0400,1.799978
FILLER_52_296,VPWR,li1,144.4400,155.0400,1.799978
FILLER_52_284,VPWR,li1,138.9200,155.0400,1.799978
FILLER_52_248,VPWR,li1,119.8300,155.0400,1.799979
FILLER_52_236,VPWR,li1,116.8400,155.0400,1.799979
FILLER_52_224,VPWR,li1,111.3200,155.0400,1.799979
FILLER_52_212,VPWR,li1,103.2700,155.0400,1.799980
FILLER_52_208,VPWR,li1,102.1200,155.0400,1.799980
FILLER_52_197,VPWR,li1,97.0600,155.0400,1.799981
FILLER_52_193,VPWR,li1,94.9900,155.0400,1.799981
FILLER_52_185,VPWR,li1,92.4600,155.0400,1.799981
FILLER_52_173,VPWR,li1,87.8600,155.0400,1.799982
FILLER_52_161,VPWR,li1,82.3400,155.0400,1.799983
FILLER_52_139,VPWR,li1,69.6900,155.0400,1.799985
FILLER_52_132,VPWR,li1,66.9300,155.0400,1.799985
FILLER_52_120,VPWR,li1,63.4800,155.0400,1.799986
FILLER_52_97,VPWR,li1,50.6000,155.0400,1.799988
FILLER_52_85,VPWR,li1,47.3800,155.0400,1.799989
FILLER_52_82,VPWR,li1,43.7000,155.0400,1.799990
FILLER_52_53,VPWR,li1,31.7400,155.0400,1.799993
FILLER_52_41,VPWR,li1,27.1400,155.0400,1.799995
FILLER_52_29,VPWR,li1,21.6200,155.0400,1.799997
FILLER_52_27,VPWR,li1,18.1700,155.0400,1.799997
FILLER_52_15,VPWR,li1,15.1800,155.0400,1.799997
FILLER_52_3,VPWR,li1,9.6600,155.0400,1.799997
FILLER_51_317,VPWR,li1,153.1800,149.6000,1.799969
FILLER_51_305,VPWR,li1,148.5800,149.6000,1.799969
FILLER_51_293,VPWR,li1,143.0600,149.6000,1.799969
FILLER_51_281,VPWR,li1,137.5400,149.6000,1.799969
FILLER_51_279,VPWR,li1,134.0900,149.6000,1.799969
FILLER_51_273,VPWR,li1,132.4800,149.6000,1.799969
FILLER_51_249,VPWR,li1,120.9800,149.6000,1.799970
FILLER_51_237,VPWR,li1,117.3000,149.6000,1.799970
FILLER_51_225,VPWR,li1,111.7800,149.6000,1.799970
FILLER_51_222,VPWR,li1,108.1000,149.6000,1.799970
FILLER_51_201,VPWR,li1,98.2100,149.6000,1.799972
FILLER_51_193,VPWR,li1,96.1400,149.6000,1.799973
FILLER_51_181,VPWR,li1,91.5400,149.6000,1.799975
FILLER_51_169,VPWR,li1,86.0200,149.6000,1.799976
FILLER_51_162,VPWR,li1,81.4200,149.6000,1.799978
FILLER_51_129,VPWR,li1,65.3200,149.6000,1.799983
FILLER_51_91,VPWR,li1,50.1400,149.6000,1.799988
FILLER_51_61,VPWR,li1,33.8100,149.6000,1.799993
FILLER_51_57,VPWR,li1,32.6600,149.6000,1.799994
FILLER_51_55,VPWR,li1,31.0500,149.6000,1.799994
FILLER_51_51,VPWR,li1,29.9000,149.6000,1.799994
FILLER_51_39,VPWR,li1,26.2200,149.6000,1.799995
FILLER_51_27,VPWR,li1,20.7000,149.6000,1.799997
FILLER_51_15,VPWR,li1,15.1800,149.6000,1.799997
FILLER_51_3,VPWR,li1,9.6600,149.6000,1.799997
FILLER_50_321,VPWR,li1,154.1000,149.6000,1.799969
FILLER_50_309,VPWR,li1,150.4200,149.6000,1.799969
FILLER_50_307,VPWR,li1,146.9700,149.6000,1.799969
FILLER_50_299,VPWR,li1,144.9000,149.6000,1.799969
FILLER_50_287,VPWR,li1,140.3000,149.6000,1.799969
FILLER_50_275,VPWR,li1,134.7800,149.6000,1.799969
FILLER_50_263,VPWR,li1,129.2600,149.6000,1.799969
FILLER_50_253,VPWR,li1,123.2800,149.6000,1.799969
FILLER_50_244,VPWR,li1,119.6000,149.6000,1.799970
FILLER_50_232,VPWR,li1,115.0000,149.6000,1.799970
FILLER_50_201,VPWR,li1,98.2100,149.6000,1.799972
FILLER_50_197,VPWR,li1,97.0600,149.6000,1.799973
FILLER_50_195,VPWR,li1,95.4500,149.6000,1.799973
FILLER_50_183,VPWR,li1,92.4600,149.6000,1.799975
FILLER_50_171,VPWR,li1,86.9400,149.6000,1.799976
FILLER_50_156,VPWR,li1,77.7400,149.6000,1.799979
FILLER_50_132,VPWR,li1,66.4700,149.6000,1.799983
FILLER_50_126,VPWR,li1,64.8600,149.6000,1.799983
FILLER_50_113,VPWR,li1,57.7300,149.6000,1.799985
FILLER_50_103,VPWR,li1,53.5900,149.6000,1.799986
FILLER_50_91,VPWR,li1,50.1400,149.6000,1.799988
FILLER_50_83,VPWR,li1,43.9300,149.6000,1.799990
FILLER_50_79,VPWR,li1,42.7800,149.6000,1.799990
FILLER_50_67,VPWR,li1,37.0300,149.6000,1.799992
FILLER_50_55,VPWR,li1,33.5800,149.6000,1.799993
FILLER_50_49,VPWR,li1,28.5200,149.6000,1.799994
FILLER_50_41,VPWR,li1,26.2200,149.6000,1.799995
FILLER_50_29,VPWR,li1,21.6200,149.6000,1.799997
FILLER_50_27,VPWR,li1,18.1700,149.6000,1.799997
FILLER_50_15,VPWR,li1,15.1800,149.6000,1.799997
FILLER_50_3,VPWR,li1,9.6600,149.6000,1.799997
FILLER_49_316,VPWR,li1,151.1100,144.1600,1.799959
FILLER_49_305,VPWR,li1,146.5100,144.1600,1.799959
FILLER_49_293,VPWR,li1,143.0600,144.1600,1.799959
FILLER_49_281,VPWR,li1,137.5400,144.1600,1.799959
FILLER_49_279,VPWR,li1,134.0900,144.1600,1.799959
FILLER_49_250,VPWR,li1,121.9000,144.1600,1.799959
FILLER_49_238,VPWR,li1,117.7600,144.1600,1.799959
FILLER_49_222,VPWR,li1,108.1000,144.1600,1.799961
FILLER_49_204,VPWR,li1,99.8200,144.1600,1.799963
FILLER_49_196,VPWR,li1,97.5200,144.1600,1.799964
FILLER_49_184,VPWR,li1,92.9200,144.1600,1.799966
FILLER_49_173,VPWR,li1,85.3300,144.1600,1.799968
FILLER_49_169,VPWR,li1,84.1800,144.1600,1.799969
FILLER_49_146,VPWR,li1,72.9100,144.1600,1.799974
FILLER_49_132,VPWR,li1,67.6200,144.1600,1.799976
FILLER_49_121,VPWR,li1,61.6400,144.1600,1.799978
FILLER_49_104,VPWR,li1,53.5900,144.1600,1.799982
FILLER_49_100,VPWR,li1,52.4400,144.1600,1.799982
FILLER_49_94,VPWR,li1,48.9900,144.1600,1.799983
FILLER_49_90,VPWR,li1,47.8400,144.1600,1.799984
FILLER_49_74,VPWR,li1,40.9400,144.1600,1.799986
FILLER_49_63,VPWR,li1,34.7300,144.1600,1.799989
FILLER_49_55,VPWR,li1,31.0500,144.1600,1.799991
FILLER_49_43,VPWR,li1,26.6800,144.1600,1.799992
FILLER_49_31,VPWR,li1,22.5400,144.1600,1.799994
FILLER_49_19,VPWR,li1,17.0200,144.1600,1.799995
FILLER_49_7,VPWR,li1,11.5000,144.1600,1.799995
FILLER_48_304,VPWR,li1,145.5900,144.1600,1.799959
FILLER_48_300,VPWR,li1,144.4400,144.1600,1.799959
FILLER_48_288,VPWR,li1,140.7600,144.1600,1.799959
FILLER_48_276,VPWR,li1,135.2400,144.1600,1.799959
FILLER_48_248,VPWR,li1,119.8300,144.1600,1.799959
FILLER_48_244,VPWR,li1,118.6800,144.1600,1.799959
FILLER_48_232,VPWR,li1,115.0000,144.1600,1.799960
FILLER_48_197,VPWR,li1,98.9000,144.1600,1.799963
FILLER_48_184,VPWR,li1,92.9200,144.1600,1.799966
FILLER_48_159,VPWR,li1,79.1200,144.1600,1.799971
FILLER_48_152,VPWR,li1,76.3600,144.1600,1.799972
FILLER_48_134,VPWR,li1,67.3900,144.1600,1.799976
FILLER_48_122,VPWR,li1,64.4000,144.1600,1.799977
FILLER_48_110,VPWR,li1,58.8800,144.1600,1.799980
FILLER_48_98,VPWR,li1,53.3600,144.1600,1.799982
FILLER_48_37,VPWR,li1,23.0000,144.1600,1.799994
FILLER_48_29,VPWR,li1,20.7000,144.1600,1.799995
FILLER_48_27,VPWR,li1,18.1700,144.1600,1.799995
FILLER_48_15,VPWR,li1,15.1800,144.1600,1.799995
FILLER_48_3,VPWR,li1,9.6600,144.1600,1.799995
FILLER_47_323,VPWR,li1,154.5600,138.7200,1.799950
FILLER_47_281,VPWR,li1,136.6200,138.7200,1.799951
FILLER_47_279,VPWR,li1,134.0900,138.7200,1.799951
FILLER_47_250,VPWR,li1,120.7500,138.7200,1.799953
FILLER_47_246,VPWR,li1,119.6000,138.7200,1.799953
FILLER_47_225,VPWR,li1,109.2500,138.7200,1.799956
FILLER_47_221,VPWR,li1,107.8700,138.7200,1.799956
FILLER_47_208,VPWR,li1,101.4300,138.7200,1.799958
FILLER_47_200,VPWR,li1,99.3600,138.7200,1.799959
FILLER_47_188,VPWR,li1,94.7600,138.7200,1.799961
FILLER_47_184,VPWR,li1,90.3900,138.7200,1.799963
FILLER_47_172,VPWR,li1,87.4000,138.7200,1.799965
FILLER_47_166,VPWR,li1,82.3400,138.7200,1.799966
FILLER_47_158,VPWR,li1,80.0400,138.7200,1.799967
FILLER_47_146,VPWR,li1,75.4400,138.7200,1.799969
FILLER_47_134,VPWR,li1,69.9200,138.7200,1.799972
FILLER_47_122,VPWR,li1,64.4000,138.7200,1.799975
FILLER_47_113,VPWR,li1,57.9600,138.7200,1.799977
FILLER_47_110,VPWR,li1,56.5800,138.7200,1.799979
FILLER_47_102,VPWR,li1,54.2800,138.7200,1.799980
FILLER_47_90,VPWR,li1,49.6800,138.7200,1.799981
FILLER_47_66,VPWR,li1,36.3400,138.7200,1.799988
FILLER_47_52,VPWR,li1,30.3600,138.7200,1.799990
FILLER_47_47,VPWR,li1,27.6000,138.7200,1.799991
FILLER_47_39,VPWR,li1,25.3000,138.7200,1.799992
FILLER_47_27,VPWR,li1,20.7000,138.7200,1.799995
FILLER_47_15,VPWR,li1,15.1800,138.7200,1.799995
FILLER_47_3,VPWR,li1,9.6600,138.7200,1.799995
FILLER_46_318,VPWR,li1,152.4900,138.7200,1.799950
FILLER_46_306,VPWR,li1,146.7400,138.7200,1.799950
FILLER_46_285,VPWR,li1,136.8500,138.7200,1.799951
FILLER_46_281,VPWR,li1,135.7000,138.7200,1.799951
FILLER_46_269,VPWR,li1,132.0200,138.7200,1.799952
FILLER_46_259,VPWR,li1,124.8900,138.7200,1.799952
FILLER_46_253,VPWR,li1,123.2800,138.7200,1.799953
FILLER_46_246,VPWR,li1,120.0600,138.7200,1.799953
FILLER_46_234,VPWR,li1,115.9200,138.7200,1.799954
FILLER_46_212,VPWR,li1,103.5000,138.7200,1.799957
FILLER_46_200,VPWR,li1,100.2800,138.7200,1.799959
FILLER_46_174,VPWR,li1,85.7900,138.7200,1.799965
FILLER_46_162,VPWR,li1,82.8000,138.7200,1.799966
FILLER_46_150,VPWR,li1,77.2800,138.7200,1.799969
FILLER_46_141,VPWR,li1,70.8400,138.7200,1.799972
FILLER_46_135,VPWR,li1,68.0800,138.7200,1.799973
FILLER_46_127,VPWR,li1,65.7800,138.7200,1.799975
FILLER_46_115,VPWR,li1,61.1800,138.7200,1.799977
FILLER_46_108,VPWR,li1,55.6600,138.7200,1.799979
FILLER_46_100,VPWR,li1,53.3600,138.7200,1.799980
FILLER_46_89,VPWR,li1,47.8400,138.7200,1.799982
FILLER_46_85,VPWR,li1,44.8500,138.7200,1.799984
FILLER_46_83,VPWR,li1,43.9300,138.7200,1.799984
FILLER_46_75,VPWR,li1,41.8600,138.7200,1.799985
FILLER_46_62,VPWR,li1,34.7300,138.7200,1.799988
FILLER_46_54,VPWR,li1,32.2000,138.7200,1.799989
FILLER_46_29,VPWR,li1,19.7800,138.7200,1.799995
FILLER_46_27,VPWR,li1,18.1700,138.7200,1.799995
FILLER_46_15,VPWR,li1,15.1800,138.7200,1.799995
FILLER_46_3,VPWR,li1,9.6600,138.7200,1.799995
FILLER_45_324,VPWR,li1,154.7900,133.2800,1.799972
FILLER_45_281,VPWR,li1,135.4700,133.2800,1.799974
FILLER_45_272,VPWR,li1,130.8700,133.2800,1.799974
FILLER_45_264,VPWR,li1,128.8000,133.2800,1.799975
FILLER_45_252,VPWR,li1,124.2000,133.2800,1.799975
FILLER_45_240,VPWR,li1,118.6800,133.2800,1.799976
FILLER_45_228,VPWR,li1,113.1600,133.2800,1.799976
FILLER_45_221,VPWR,li1,107.8700,133.2800,1.799977
FILLER_45_213,VPWR,li1,105.3400,133.2800,1.799977
FILLER_45_177,VPWR,li1,87.1700,133.2800,1.799980
FILLER_45_169,VPWR,li1,85.1000,133.2800,1.799981
FILLER_45_156,VPWR,li1,80.0400,133.2800,1.799982
FILLER_45_144,VPWR,li1,74.5200,133.2800,1.799984
FILLER_45_125,VPWR,li1,65.7800,133.2800,1.799986
FILLER_45_113,VPWR,li1,60.2600,133.2800,1.799987
FILLER_45_111,VPWR,li1,56.8100,133.2800,1.799988
FILLER_45_107,VPWR,li1,55.6600,133.2800,1.799988
FILLER_45_90,VPWR,li1,47.3800,133.2800,1.799991
FILLER_45_77,VPWR,li1,41.6300,133.2800,1.799992
FILLER_45_69,VPWR,li1,39.1000,133.2800,1.799993
FILLER_45_57,VPWR,li1,34.5000,133.2800,1.799994
FILLER_45_54,VPWR,li1,30.8200,133.2800,1.799995
FILLER_45_46,VPWR,li1,28.5200,133.2800,1.799996
